date,nq_log_return,nq_log_range,nq_body_log,nq_upper_wick_log,nq_lower_wick_log,nq_vol_5d,nq_vol_10d,vxn_log_close,vxn_log_range,vxn_log_return,day_of_week,target
2005-02-03,-0.011116564030486664,0.01070842170045605,-0.0052769744613296865,0.0012589414189720927,0.004172505820154271,0.009205103582437727,0.009564898312256681,2.854168744390704,0.02752464629421958,0.0034622869875180484,3,0.017932178489690642
2005-02-04,0.01725467027028138,0.017932178489690642,0.017586237460925247,0.0003127458763234614,3.319515244193383e-05,0.01119252049545474,0.010693971521045313,2.8284963586871754,0.04218558922246807,-0.025672385703528366,4,0.010231727759835607
2005-02-07,-0.003551412453895786,0.010231727759835607,-0.0035448892453135983,0.0025383691588594104,0.0041484693556625984,0.010418528387307615,0.009082967543414214,2.865623557793666,0.023042472625918187,0.03712719910649076,0,0.010014903787699758
2005-02-08,0.0023776638803516548,0.010014903787699758,0.002050716918676976,0.006321827077459652,0.0016423597915631305,0.010410050037836262,0.009002636451005588,2.867898923718522,0.0344268309235205,0.0022753659248557767,1,0.0196644827853385
2005-02-09,-0.017029451057562817,0.0196644827853385,-0.018151092326164076,4.558409636068461e-05,0.0014678063628137394,0.013233068101723111,0.010250709286963575,2.903616972097839,0.04485052299443604,0.035718048379317135,2,0.011203572806147477
2005-02-10,1.3204935454425026e-05,0.011203572806147477,-0.0038946412214393433,0.0009977171094055493,0.0063112144753025845,0.012306673732347983,0.010246661309565806,2.885917411804259,0.0577817113492336,-0.017699560293579886,3,0.02429737962521994
2005-02-11,0.015592942359127449,0.02429737962521994,0.01674834520719415,0.003281116569807452,0.004267917848218339,0.011726669485463503,0.01114125132036039,2.8443278504626814,0.07212892610429078,-0.04158956134157776,4,0.0064165888147522665
2005-02-14,0.005018357754996039,0.0064165888147522665,0.004574204727171072,0.0011695389221273444,0.0006728451654538503,0.011798779146968962,0.010493553468722508,2.8724340744705708,0.022689550555504034,0.028106224007889313,0,0.016683735679564826
2005-02-15,0.00589213074038053,0.016683735679564826,0.005781590208574272,0.008924060230476094,0.00197808524051446,0.011990016821264937,0.010592444612618596,2.865623557793666,0.09988776348803885,-0.006810516676904577,1,0.00799206769819083
2005-02-16,-0.003165357654935974,0.00799206769819083,0.000745880363975715,0.0034173084408308796,0.0038288788933842355,0.007141501872506991,0.010697312740063835,2.8570447450157155,0.037461804791416586,-0.008578812777950695,2,0.017920099811116863
2005-02-17,-0.015103004237137618,0.017920099811116863,-0.015504888644403358,0.0023690909570301955,4.61202096833091e-05,0.011484749937867592,0.011263630801280327,2.8639137381028803,0.05675692754598316,0.006868993087164821,3,0.007448776703641968
2005-02-18,-0.002563699552626808,0.007448776703641968,-0.0025109905679183697,0.003174292076370655,0.0017634940593529436,0.008439584982804435,0.009662817324580101,2.8831233761345922,0.025260997960166787,0.01920963803171194,4,0.019840996398385435
2005-02-22,-0.014175542879181435,0.019840996398385435,-0.005919247081644485,0.01359373883707704,0.0003280104796639094,0.008814956631341608,0.010492201956426169,2.9444389791664403,0.053805337888601645,0.06131560303184802,1,0.009285692324109363
2005-02-23,0.002019297293479383,0.009285692324109363,-0.0038267669728702103,0.0007051262824617766,0.004753799068777376,0.007616933090150884,0.010474993674595598,2.9145222470903573,0.04483142199091983,-0.02991673207608292,2,0.017371410367172935
2005-02-24,0.013679393101734938,0.017371410367172935,0.016019999036090304,0.00011203354036926072,0.0012393777907133696,0.011986448427925452,0.010190890126528804,2.8684669571674872,0.06196666487695346,-0.04605528992287011,3,0.00955468242411417
2005-02-25,0.006036958054821184,0.00955468242411417,0.007329186226925799,0.0007201385476998112,0.001505357649488559,0.010370317936818182,0.010321610526521455,2.8530159801521586,0.03438736455260871,-0.015450977015328604,4,0.017553244735993623
2005-02-28,-0.01045461980038187,0.017553244735993623,-0.003989357558091378,0.005023347416642565,0.00854053976125968,0.011578187123984233,0.009580431458998055,2.8942530877156045,0.03317045228613624,0.041237107563445896,0,0.009308471483255865
2005-03-01,0.010683800151491951,0.009308471483255865,0.006977961149891243,0.001387150159661843,0.0009433601737027786,0.009415414751110886,0.010145243606747047,2.87807426870474,0.021265443946971718,-0.016178819010864487,1,0.017120187151656197
2005-03-02,-0.0012907135770694467,0.017120187151656197,0.004995130518357982,0.01034439284296429,0.001780663790333925,0.009734973217327157,0.009876181946376449,2.901421636002499,0.03628640467367683,0.023347367297759103,2,0.01870157203638456
2005-03-03,-0.008817485493761268,0.01870157203638456,-0.011992168829288552,0.00035941389600502305,0.006349989311090987,0.009169913158577275,0.010144411118257694,2.931726955778603,0.046294628847169506,0.030305319776104067,3,0.008727385037885504
2005-03-04,0.00573127864555012,0.008727385037885504,-0.0023844052966586204,0.004177042236569228,0.0021659375046576557,0.009114047648913196,0.009254422218625621,2.897567978476996,0.03877094974193529,-0.03415897730160733,4,0.01872461378426582
2005-03-07,0.01606150808765605,0.01872461378426582,0.013788590940050582,0.004732556970587609,0.00020346587362762847,0.00980189037803686,0.010458103238954112,2.8752580942675223,0.05152068651113151,-0.02230988420947355,0,0.01433864541396268
2005-03-08,-0.010768311278443576,0.01433864541396268,-0.007916784820164224,0.005669263725740947,0.000752596868057509,0.011022955640850212,0.009915904731896193,2.882563609622572,0.05591870245398223,0.007305515355049863,1,0.011457034431828994
2005-03-09,-0.004372903015773311,0.011457034431828994,-0.0032274462807313498,0.007223793795771094,0.0010057943553265503,0.011210577818494882,0.01013869002135952,2.8791984144362717,0.03205220678613596,-0.003365195186300518,2,0.015459359267461892
2005-03-10,0.0015756673027169654,0.015459359267461892,-0.0008262305356927513,0.0015325851167249382,0.013100543615044202,0.010183855338634567,0.009224120968699567,2.883682722808376,0.036589544812791974,0.004484308372104451,3,0.020990009646352448
2005-03-11,-0.012369706512099121,0.020990009646352448,-0.015166942225155466,0.0033958897430563795,0.002427177678140602,0.011500489636980709,0.009801288007565608,2.921547358930808,0.056561809332158486,0.03786463612243196,4,0.008324141799408658
2005-03-14,0.006256753871437759,0.008324141799408658,0.0039017763435564845,4.624592649982162e-05,0.004376119529352351,0.007941496626459809,0.009506557789198858,2.90962959528912,0.04169501243690377,-0.011917763641688062,0,0.012941618907486685
2005-03-15,-0.008637282287249803,0.012941618907486685,-0.012043840994881094,0.00011184562842014856,0.0007859322841854421,0.007529633400238439,0.009109791534561406,2.9274534491377295,0.059455188865883635,0.017823853848609517,1,0.01707959774508172
