date,predict
2022-01-03,0.008798206569302495
2022-01-04,0.009699441960189407
2022-01-05,0.013829654982577301
2022-01-06,0.01261176385517255
2022-01-07,0.011743263159493034
2022-01-10,0.014798191134837907
2022-01-11,0.012481385641009415
2022-01-12,0.010646707363811014
2022-01-13,0.013836828774321006
2022-01-14,0.011435589201977313
2022-01-18,0.014106427103964678
2022-01-19,0.017106013739871636
2022-01-20,0.017960753429500032
2022-01-21,0.019394442220952192
2022-01-24,0.029433391253958902
2022-01-25,0.026083801477496473
2022-01-26,0.024571998621500092
2022-01-27,0.01905158115669485
2022-01-28,0.02021644738024037
2022-01-31,0.01762411428643131
2022-02-01,0.01388410581506035
2022-02-02,0.012841472999023227
2022-02-03,0.017161279814415904
2022-02-04,0.017216170208241764
2022-02-07,0.014448357577707382
2022-02-08,0.013374720813573996
2022-02-09,0.010526583557507371
2022-02-10,0.01848036585856311
2022-02-11,0.02236072061170972
2022-02-14,0.018798906015994512
2022-02-15,0.013638638102656588
2022-02-16,0.01575834184919008
2022-02-17,0.018613229580924623
2022-02-18,0.018664482248262927
2022-02-22,0.02101365586271384
2022-02-23,0.02109480393238149
2022-02-24,0.025389914264351422
2022-02-25,0.018955256528465216
2022-02-28,0.021822994785815928
2022-03-01,0.024117711763479495
2022-03-02,0.01788829804491837
2022-03-03,0.02060408080071674
2022-03-04,0.02043899712872003
2022-03-07,0.02624593655816684
2022-03-08,0.029280477833916352
2022-03-09,0.020160017346138783
2022-03-10,0.019404191137190604
2022-03-11,0.02085687369120159
2022-03-14,0.023330302104002394
2022-03-15,0.017995496228587465
2022-03-16,0.01748826046066626
2022-03-17,0.016347360248158218
2022-03-18,0.015470754507358634
2022-03-21,0.016457115132664627
2022-03-22,0.011917796228698025
2022-03-23,0.015245708032265133
2022-03-24,0.011589931352203256
2022-03-25,0.012418655786952504
2022-03-28,0.012583470523928034
2022-03-29,0.012025707037896445
2022-03-30,0.01162711887481732
2022-03-31,0.013447107068894643
2022-04-01,0.012185015882603374
2022-04-04,0.011082289157688146
2022-04-05,0.0157751972391686
2022-04-06,0.014317604592177716
2022-04-07,0.014627174413195455
2022-04-08,0.01341846391450887
2022-04-11,0.015029485261737802
2022-04-12,0.016921292404149798
2022-04-13,0.012793927871318011
2022-04-14,0.014886223568288276
2022-04-18,0.013676118352775846
2022-04-19,0.011967035746663067
2022-04-20,0.013371335061300829
2022-04-21,0.017288310312634073
2022-04-22,0.021555236669048877
2022-04-25,0.01997761071633995
2022-04-26,0.02318932800347254
2022-04-27,0.02303573431846904
2022-04-28,0.020259812143880698
2022-04-29,0.029728931486343146
2022-05-02,0.02512134018991478
2022-05-03,0.02019696333185808
2022-05-04,0.0192044463056396
2022-05-05,0.027273679646580694
2022-05-06,0.02287254704471718
2022-05-09,0.023996466455801543
2022-05-10,0.024734357331122506
2022-05-11,0.026921089718358333
2022-05-12,0.022539821460462437
2022-05-13,0.017679755571817
2022-05-16,0.019811612443390796
2022-05-17,0.015455233800059337
2022-05-18,0.02650171237557269
2022-05-19,0.021623276412735343
2022-05-20,0.02633462730357106
2022-05-23,0.018928124026723954
2022-05-24,0.023057292022568586
2022-05-25,0.01949358562895449
2022-05-26,0.017123832460196532
2022-05-27,0.014180884027826631
2022-05-31,0.018655238289798176
2022-06-01,0.018484213657552647
2022-06-02,0.015407799667478928
2022-06-03,0.01683535800601123
2022-06-06,0.017362396958722742
2022-06-07,0.015605773421305985
2022-06-08,0.015786750660181436
2022-06-09,0.018082947952508564
2022-06-10,0.018238192357088078
2022-06-13,0.022079772002850138
2022-06-14,0.021966625283318175
2022-06-15,0.02286204664101088
2022-06-16,0.02268855382470435
2022-06-17,0.02203587891539567
2022-06-21,0.018664193375090128
2022-06-22,0.02233475232460928
2022-06-23,0.020381247392919796
2022-06-24,0.015381367932037714
2022-06-27,0.01745851881266558
2022-06-28,0.023895176998263767
2022-06-29,0.018092139835640283
2022-06-30,0.022180989526860043
2022-07-01,0.01762010198652156
2022-07-05,0.01892914283065752
2022-07-06,0.01885825792789696
2022-07-07,0.014116177749328215
2022-07-08,0.01579557977281371
2022-07-11,0.015623599971803652
2022-07-12,0.019918335108959403
2022-07-13,0.01912893740266609
2022-07-14,0.016173484649196334
2022-07-15,0.013240532566572843
2022-07-18,0.018847361933811778
2022-07-19,0.013962028694138795
2022-07-20,0.015267385564595875
2022-07-21,0.014531288366590274
2022-07-22,0.015813475690136396
2022-07-25,0.015043984524486631
2022-07-26,0.015364070054794647
2022-07-27,0.013065485151712693
2022-07-28,0.014243359828487906
2022-07-29,0.012607337938965353
2022-08-01,0.015002293946721087
2022-08-02,0.017203614145910776
2022-08-03,0.011513753217260104
2022-08-04,0.011858864915457954
2022-08-05,0.01209707682665013
2022-08-08,0.01472993519775342
2022-08-09,0.01249337761345737
2022-08-10,0.01069886944928968
2022-08-11,0.014132411967950698
2022-08-12,0.011055992607461575
2022-08-15,0.012804440668658703
2022-08-16,0.013078752152583044
2022-08-17,0.013346004748152961
2022-08-18,0.010756463181144427
2022-08-19,0.013006412483696723
2022-08-22,0.01582506598649332
2022-08-23,0.015115805361777972
2022-08-24,0.013299425742831309
2022-08-25,0.01191789792979754
2022-08-26,0.022636077227743565
2022-08-29,0.01806936914420947
2022-08-30,0.018045020039315633
2022-08-31,0.01845209611970991
2022-09-01,0.016782361241690875
2022-09-02,0.019054411426868628
2022-09-06,0.017770183697356404
2022-09-07,0.015079073341637392
2022-09-08,0.015309228939337548
2022-09-09,0.011700518521429604
2022-09-12,0.012876544384221677
