date,target,sp500_log_return,sp500_log_range,sp500_body_log,sp500_upper_wick_log,sp500_lower_wick_log,sp500_vol_5d,sp500_vol_10d,vix_log_close,vix_log_range,vix_log_return,day_of_week
2005-01-18,0.009721127488650616,0.009628270925436055,0.013366756688407477,0.009628270925436055,0.0,0.003738485762971422,0.00794164213215996,0.006922707677104931,2.523325781105642,0.0668224517293976,0.0032128510314715086,1
2005-01-19,0.009507894364979563,-0.009535422983763198,0.009721127488650616,-0.009535422983763198,0.0,0.0001857045048874184,0.008803396012554211,0.006550391323353082,2.5787005522288204,0.06247153450101184,0.055374771123178235,2
2005-01-20,0.009909469776022917,-0.00781344168486342,0.009507894364979563,-0.00781344168486342,0.0,0.001694452680116143,0.009137910277414483,0.00691096924591119,2.626840140160113,0.06062461759215099,0.04813958793129247,3
2005-01-21,0.007942620158106983,-0.0064354793204568495,0.009909469776022917,-0.0064354793204568495,0.0034311347432174344,4.2855712348632835e-05,0.008783287262222233,0.006953158632043136,2.664446539711808,0.07613154087974694,0.03760639955169509,4
2005-01-24,0.00902471736038013,-0.003534023051619428,0.007942620158106983,-0.003534023051619428,0.004408597106487555,0.0,0.007681057485066226,0.006975903944137834,2.6844403094241867,0.04011602369905187,0.01999376971237865,0
2005-01-25,0.006440922614220135,0.0039963298516152435,0.00902471736038013,0.0039963298516152435,0.005028387508764887,0.0,0.005316625903910291,0.00702728009455274,2.643333916227234,0.03399757638812684,-0.04110639319695286,1
2005-01-26,0.006261580324095739,0.004832419632938567,0.006440922614220135,0.004832419632938567,0.0016085029812815677,0.0,0.0058788178165312035,0.007140897708466162,2.598235303873522,0.05800880523645979,-0.0450986123537116,2
2005-01-27,0.007993676181401455,0.00040883799571478363,0.006261580324095739,0.00040883799571478363,0.002508409819027335,0.0033443325093536203,0.004829276690926308,0.006965338746948107,2.583242533221714,0.04599375749020629,-0.01499277065180804,3
2005-01-28,0.0091016390398444,-0.0027196826787090345,0.007993676181401455,-0.0027196826787090345,0.0009020122714096246,0.0043719812312827955,0.0037945804458854072,0.006486050218480841,2.583242533221714,0.055338140776415745,0.0,4
2005-01-31,0.007961838859381842,0.008424693022827334,0.0091016390398444,0.008424693022827334,0.000676946017017066,0.0,0.004278024098574375,0.006796157480382337,2.551006427687861,0.06360964149650439,-0.032236105533853365,0
2005-02-01,0.005309999548138933,0.006867267158630064,0.007961838859381842,0.006867267158630064,0.0008235822371931434,0.0002709894635586352,0.004625648761788936,0.006393278422528345,2.487403507789679,0.07991470474836149,-0.06360291989818201,1
2005-02-02,0.0063476181547805766,0.003172929099699573,0.005309999548138933,0.003172929099699573,0.0017250248322193684,0.0004120456162199915,0.004570981317844093,0.005625930480440297,2.4561641678359063,0.04580953108895214,-0.031239339953772483,2
2005-02-03,0.01153303161088104,-0.0027694655050192196,0.0063476181547805766,-0.0027694655050192196,0.0,0.003578152649761357,0.005234379893536962,0.004962890826272274,2.467251711313743,0.03356016426595421,0.011087543477836803,3
2005-02-04,0.0040608894823686015,0.010982520503199034,0.01153303161088104,0.010982520503199034,0.0003656276012060644,0.00018488350647594132,0.005341943546617507,0.005031916648056275,2.41680624048701,0.09364078764017814,-0.05044547082673301,4
2005-02-07,0.00411592720959586,-0.0010895591835762275,0.0040608894823686015,-0.0010895591835762275,0.0009305454291039794,0.0020407848696883946,0.005652017497894424,0.004731460825674641,2.4621496236403475,0.03375485751923657,0.04534338315333741,0
2005-02-08,0.010261483494464763,0.00048259010452955664,0.00411592720959586,0.00048259010452955664,0.002334407317071019,0.0012989297879952844,0.0053975868294697145,0.004796650770390981,2.4510051309976397,0.019031739493895916,-0.011144492642707782,1
2005-02-09,0.006032726310315262,-0.008612258457473487,0.010261483494464763,-0.008612258457473487,0.0012716747886711843,0.000377550248320091,0.007135724338024927,0.005931994543365263,2.4849066497880004,0.05208181668974854,0.03390151879036063,2
2005-02-10,0.012574781063346308,0.004202617764653027,0.006032726310315262,0.004202617764653027,0.0014525582973421436,0.000377550248320091,0.007189408227906328,0.00597456708171814,2.443216242619268,0.052215511195524034,-0.04169040716873251,3
2005-02-11,0.002771260973720935,0.00690175020517092,0.012574781063346308,0.00690175020517092,0.002552084499876095,0.0031209463582992925,0.005919806357507131,0.005923495448140846,2.436241504506262,0.04942485750892889,-0.006974738113005863,4
2005-02-14,0.005723784412607458,0.0006966508245467296,0.002771260973720935,0.0006966508245467296,0.0006547999588475406,0.0014198101903266647,0.0058627979769956306,0.005612239956187066,2.4440846950041744,0.05904486959808919,0.007843190497912378,0
2005-02-15,0.006105402884656108,0.003294334262128551,0.005723784412607458,0.003294334262128551,0.0019152855318687045,0.0005141646186102022,0.005966552714815105,0.005382897533925396,2.4221443686695787,0.055059786363565344,-0.02194032633459564,1
2005-02-16,0.008780867967997708,0.00018175942364706543,0.006105402884656108,0.00018175942364706543,0.001733526108221639,0.004190117352787404,0.002738115954182997,0.005376677002745366,2.40694514268493,0.04172822631311446,-0.015199225984648734,2
2005-02-17,0.004641209791151901,-0.007954922070865678,0.008780867967997708,-0.007954922070865678,0.0008176096011940359,8.33629593799401e-06,0.005484970178614492,0.006036004180116844,2.4655539601645953,0.06057213006845297,0.05860881747966529,3
2005-02-18,0.015352383269261693,0.0006992897479056737,0.004641209791151901,0.0006992897479056737,0.0011063195871594544,0.002835600456086773,0.004279017087546803,0.00489766961193274,2.414126495023534,0.08073047617531426,-0.05142746514106111,4
2005-02-22,0.007873249125767146,-0.014611959979604627,0.015352383269261693,-0.014611959979604627,0.0007404232896570662,0.0,0.007424880406361561,0.006722118775835029,2.5756610391845274,0.08783813789501282,0.16153454416099322,1
2005-02-23,0.010568634458865134,0.005591699832857344,0.007873249125767146,0.005591699832857344,0.0022815492929098014,0.0,0.008012101558870851,0.007072224320593252,2.516889723350716,0.0507239787596081,-0.05877131583381123,2
2005-02-24,0.010399170747542819,0.007862777725995862,0.010568634458865134,0.007862777725995862,0.00018336327657220153,0.0025224934562970702,0.009436808867430526,0.007010509958528682,2.448415514829113,0.0859219917581946,-0.06847420852160324,3
2005-02-25,0.010989934420526204,0.00926377760227215,0.010399170747542819,0.00926377760227215,0.0006437160143288878,0.0004916771309417811,0.009713375719346719,0.007460796326817093,2.441477071940574,0.07580717825207639,-0.006938442888539065,4
2005-02-28,0.0071610915137707565,-0.006434901002669413,0.010989934420526204,-0.006434901002669413,0.0,0.004555033417856791,0.01040752816130055,0.007518620133305975,2.491551186190945,0.0635790206679081,0.05007411425037134,0
2005-03-01,0.009562073272389782,0.005642127938093822,0.0071610915137707565,0.005642127938093822,0.0015189635756769349,0.0,0.0062450812965945905,0.007739261026906628,2.4882344367123217,0.03704131629321239,-0.003316749478623482,1
2005-03-02,0.009313479102076805,-0.00027273661810500727,0.009562073272389782,-0.00027273661810500727,0.004434929963313294,0.00485440669097148,0.006507022272777257,0.007670549688121728,2.5257286443082556,0.05656625693398887,0.037494207595933915,2
2005-03-03,0.011736224669816941,0.00032225292897436475,0.009313479102076805,0.00032225292897436475,0.0043277800345586925,0.0046634461385437476,0.0060149295747176515,0.007671054968691059,2.5595502163859143,0.06642759201728987,0.03382157207765868,3
2005-03-04,0.005703266716838407,0.009578361866919849,0.011736224669816941,0.009578361866919849,0.0021578628028970925,0.0,0.006114593003185496,0.007651809872930736,2.479894072820678,0.045834571487577414,-0.07965614356523609,4
2005-03-07,0.005825906886125942,0.002606869420683111,0.005703266716838407,0.002606869420683111,0.0030963972961552955,0.0,0.004081546530516595,0.00764609138085647,2.506341949177057,0.044632168467523936,0.026447876356378686,0
2005-03-08,0.010527339879999431,-0.00481034052782725,0.005825906886125942,-0.00481034052782725,0.00030998189762687645,0.0007055844606718153,0.005263887070568033,0.00565554111431894,2.517696441847303,0.04499738189181235,0.011354492670246241,1
2005-03-09,0.008140460622106716,-0.010237345322318347,0.010527339879999431,-0.010237345322318347,0.0,0.0002899945576810836,0.007504943729879051,0.006906218751742764,2.541601978446052,0.041739642799601295,0.023905536598749055,2
