date,close_log,high_log,low_log,target_high,target_low,log_target,log_return,close_log_lag1,Upper_Wick_lag1,Lower_Wick_lag1,Vol_Diaria_lag1,Vol_Rango_Log_lag1
2005-01-05,7.354848462889731,7.365736936089214,7.354131986970876,0.005741139399579431,-0.005863809718758439,-0.005147333799904175,-0.019954464872251165,7.359995796689635,0.02571889848232356,0.004341901764450817,0.012636611877850487,0.05900102672183749
2005-01-06,7.350850104210622,7.359308491283056,7.350413382877864,0.004460028393325821,-0.004435080011866432,-0.003998358679108804,-0.005147333799904175,7.354848462889731,0.010888473199483606,0.0007164759188542646,0.01271220530111968,0.03374785434038241
2005-01-07,7.355519727297821,7.3637614047735696,7.346842147023757,0.012911300562947758,-0.00400795718686453,0.004669623087199426,-0.003998358679108804,7.350850104210622,0.008458387072434626,0.00043672133275762803,0.012680707540792225,0.024988806214954806
2005-01-10,7.355590011538317,7.363729682824957,7.351504789645757,0.008209955527135548,-0.004014937652064177,7.028424049604354e-05,0.004669623087199426,7.355519727297821,0.008241677475748332,0.008677580274063956,0.012063365856574497,0.06078082141667718
2005-01-11,7.34820137170208,7.3538759615135,7.342960421644119,-0.0017140500248169488,-0.012629589894197935,-0.007388639836237054,7.028424049604354e-05,7.355590011538317,0.008139671286639505,0.00408522189256022,0.012353139244003586,0.027679927567281215
2005-01-12,7.356139400079586,7.356720355136443,7.341509800868038,0.008518983434362859,-0.00669157083404226,0.007938028377505901,-0.007388639836237054,7.34820137170208,0.0056745898114201054,0.00524095005796088,0.012390935354879834,0.037152951553481195
2005-01-13,7.342895722160362,7.357900554281335,7.341794873640251,0.001761154201749271,-0.014344526439335148,-0.013243677919223984,0.007938028377505901,7.356139400079586,0.0005809550568569577,0.014629599211548161,0.012145258831909181,0.038814702682741675
2005-01-14,7.3531523762983,7.354867665969718,7.346042498958528,0.011971943809355956,0.0031467767981654404,0.010256654137937637,-0.013243677919223984,7.342895722160362,0.015004832120973255,0.001100848520111164,0.01202556974569825,0.03239577067279553
2005-01-18,7.361051355018943,7.361623183956,7.347222381312607,0.008470807657699808,-0.005929994985693021,0.007898978720643157,0.010256654137937637,7.3531523762983,0.0017152896714183186,0.007109877339772197,0.01169800024739291,0.0331581631135025
2005-01-19,7.343199828626824,7.36075262995202,7.34318687636688,-0.00029872506692285583,-0.017864478652063198,-0.017851526392118622,0.007898978720643157,7.361051355018943,0.0005718289370566509,0.013828973706336178,0.01181138978153835,0.05153364034507346
